targetView,camSet,coverage
1,"(3, 8, 10)",0.08218424479166667
1,"(3, 8, 11)",0.04845486111111111
1,"(3, 9, 10)",0.06310763888888889
1,"(3, 9, 11)",0.03792209201388889
1,"(3, 10, 11)",0.042422960069444446
1,"(4, 5, 6)",0.5645442708333334
1,"(4, 5, 7)",0.5645421006944444
1,"(4, 5, 8)",0.56583984375
1,"(4, 5, 9)",0.5645421006944444
1,"(4, 5, 10)",0.565673828125
1,"(4, 5, 11)",0.5645421006944444
1,"(4, 6, 7)",0.5644748263888889
1,"(4, 6, 8)",0.5658420138888889
1,"(4, 6, 9)",0.5645442708333334
1,"(4, 6, 10)",0.5656065538194445
1,"(4, 6, 11)",0.5644748263888889
1,"(4, 7, 8)",0.56583984375
1,"(4, 7, 9)",0.5645421006944444
1,"(4, 7, 10)",0.5656043836805555
1,"(4, 7, 11)",0.56447265625
1,"(4, 8, 9)",0.56583984375
1,"(4, 8, 10)",0.5669715711805555
1,"(4, 8, 11)",0.56583984375
1,"(4, 9, 10)",0.565673828125
1,"(4, 9, 11)",0.5645421006944444
1,"(4, 10, 11)",0.5656043836805555
1,"(5, 6, 7)",0.058721788194444444
1,"(5, 6, 8)",0.07148111979166667
1,"(5, 6, 9)",0.04279947916666667
1,"(5, 6, 10)",0.06798177083333333
1,"(5, 6, 11)",0.04279839409722222
1,"(5, 7, 8)",0.08571506076388889
1,"(5, 7, 9)",0.05574652777777778
1,"(5, 7, 10)",0.08259657118055555
1,"(5, 7, 11)",0.055743272569444446
1,"(5, 8, 9)",0.069794921875
1,"(5, 8, 10)",0.09640082465277777
1,"(5, 8, 11)",0.06979166666666667
1,"(5, 9, 10)",0.06667643229166667
1,"(5, 9, 11)",0.03982313368055555
1,"(5, 10, 11)",0.06667317708333333
1,"(6, 7, 8)",0.06437608506944445
1,"(6, 7, 9)",0.05384331597222222
1,"(6, 7, 10)",0.05834418402777778
1,"(6, 7, 11)",0.024300130208333333
1,"(6, 8, 9)",0.06660264756944445
1,"(6, 8, 10)",0.08218207465277778
1,"(6, 8, 11)",0.04845269097222222
1,"(6, 9, 10)",0.06310546875
1,"(6, 9, 11)",0.037919921875
1,"(6, 10, 11)",0.04242078993055556
1,"(7, 8, 9)",0.08083875868055555
1,"(7, 8, 10)",0.09807291666666666
1,"(7, 8, 11)",0.061815321180555556
1,"(7, 9, 10)",0.07772243923611111
1,"(7, 9, 11)",0.050866970486111114
1,"(7, 10, 11)",0.052501085069444446
1,"(8, 9, 10)",0.09152669270833333
1,"(8, 9, 11)",0.06491536458333333
1,"(8, 10, 11)",0.08214952256944444
1,"(9, 10, 11)",0.06179904513888889
2,"(0,)",0.0013216145833333333
2,"(1,)",0.1689138454861111
2,"(2,)",0.9991015625
2,"(3,)",0.16856011284722222
2,"(4,)",0.03658094618055555
2,"(5,)",0.023965928819444444
2,"(6,)",0.03512912326388889
2,"(7,)",0.0
2,"(8,)",0.0013194444444444445
2,"(9,)",0.039887152777777775
2,"(10,)",0.5649381510416667
2,"(11,)",0.015923394097222224
2,"(0, 1)",0.16991319444444444
2,"(0, 2)",0.9991015625
2,"(0, 3)",0.16890516493055555
2,"(0, 4)",0.037582465277777775
2,"(0, 5)",0.024813368055555556
2,"(0, 6)",0.03547634548611111
2,"(0, 7)",0.0013216145833333333
2,"(0, 8)",0.0013216145833333333
2,"(0, 9)",0.04073459201388889
2,"(0, 10)",0.5649403211805556
2,"(0, 11)",0.017245008680555556
2,"(1, 2)",0.9991015625
2,"(1, 3)",0.3349381510416667
2,"(1, 4)",0.1689138454861111
2,"(1, 5)",0.18315538194444445
2,"(1, 6)",0.20150933159722223
2,"(1, 7)",0.1689138454861111
2,"(1, 8)",0.16991319444444444
2,"(1, 9)",0.19907877604166666
2,"(1, 10)",0.6972743055555556
2,"(1, 11)",0.18483723958333334
2,"(2, 3)",0.9991015625
2,"(2, 4)",0.9991015625
2,"(2, 5)",0.9991015625
2,"(2, 6)",0.9991015625
2,"(2, 7)",0.9991015625
2,"(2, 8)",0.9991015625
2,"(2, 9)",0.9991015625
2,"(2, 10)",0.9991015625
2,"(2, 11)",0.9991015625
2,"(3, 4)",0.202607421875
2,"(3, 5)",0.18681857638888888
2,"(3, 6)",0.16856011284722222
